"","grade","age","female","race","empathy_1","empathy_2","empathy_3","empathy_4","empathy_5","empathy_6","empathy_7","empathy_8","empathy_9","empathy_10","empathy_11","schid"
"149",10,15,1,"Black",3,2,2,2,1,2,3,3,2,3,2,2
"150",12,15,1,"Hispanic",1,NA,2,2,2,2,2,2,2,2,2,2
"151",12,18,0,"Black",2,3,2,3,1,1,2,1,1,2,2,2
"152",12,18,0,"Black",3,2,3,2,1,3,3,1,1,2,2,2
"153",12,17,1,"White",2,2,3,3,2,2,3,3,2,3,2,2
"154",12,18,0,"Black",2,2,3,3,2,1,3,3,2,3,2,2
"155",12,19,0,"Black",2,2,2,3,1,2,1,1,1,1,1,2
"156",12,18,1,"Black",1,1,1,2,1,1,2,3,1,1,1,2
"157",12,17,1,"Black",3,2,1,3,3,2,2,1,1,2,1,2
"158",12,18,0,"Black",3,2,2,2,3,1,3,2,1,3,2,2
"159",12,18,1,"Black",3,2,3,3,1,2,3,3,3,2,2,2
"160",12,18,0,"White",2,2,2,2,2,1,2,2,2,2,3,2
"161",12,17,0,"Black",NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,2
"162",12,17,1,"Black",1,2,2,1,1,1,1,1,1,2,2,2
"163",12,17,1,"White",1,1,2,2,1,2,3,3,2,2,2,2
"164",12,18,1,"White",2,1,2,3,1,1,2,3,2,2,1,2
"165",11,17,1,"Black",2,3,2,2,1,2,3,2,2,2,1,2
"166",12,19,0,"White",1,1,2,2,1,1,3,1,1,3,3,2
"167",12,17,1,"Black",1,2,1,2,2,2,3,2,2,3,2,2
"168",12,18,0,"White",1,1,1,2,1,1,2,1,1,1,1,2
"169",12,18,0,"Black",3,3,NA,3,2,2,2,2,1,1,1,2
"170",12,18,0,"Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"171",12,18,0,"Black",2,1,2,1,1,1,1,1,1,1,1,2
"172",12,17,0,"Hispanic",2,3,3,3,3,3,3,3,2,3,3,2
"173",12,17,1,"Black",3,3,3,3,2,1,3,3,3,3,3,2
"174",12,17,1,"Black",2,3,2,3,3,2,3,3,3,3,2,2
"175",12,18,0,"Black",1,2,3,3,2,2,1,3,NA,2,3,2
"176",12,17,1,"Black",3,2,2,2,2,2,3,2,2,1,2,2
"177",12,17,1,"Black",3,2,NA,3,2,3,NA,3,2,3,1,2
"178",12,19,0,"Black",2,3,3,2,2,2,3,1,2,2,3,2
"179",12,18,0,"Black",3,1,2,1,1,1,2,1,1,1,1,2
"180",12,18,0,"Black",3,3,3,2,2,2,2,2,1,3,1,2
"181",12,17,1,"Black",2,2,2,2,1,1,3,3,2,2,2,2
"182",12,18,0,"Other",1,2,3,3,2,NA,1,2,2,3,3,2
"183",12,17,0,"White",1,1,1,2,1,1,1,1,1,1,2,2
"184",12,18,1,"White",2,1,2,2,1,2,3,3,1,2,2,2
"185",12,17,0,"White",1,2,1,1,1,1,1,1,2,1,1,2
"186",12,17,0,"Black",1,3,1,3,1,1,1,1,1,3,3,2
"187",12,17,0,"White",3,2,3,3,2,3,3,2,3,3,3,2
"188",12,18,0,"Black",2,3,2,3,1,1,3,3,1,2,3,2
"189",12,17,0,"White",1,1,1,1,1,1,1,1,1,1,1,2
"190",12,18,1,"Black",2,3,3,3,2,2,3,3,3,2,2,2
"191",11,16,1,"White",2,1,3,3,2,3,3,2,3,3,2,2
"192",12,18,1,"Black",3,2,3,2,3,1,2,2,2,3,2,2
"193",12,19,0,"Black",1,1,2,2,1,2,3,1,1,3,2,2
"194",12,17,1,"Black",3,2,2,2,1,1,3,2,2,2,2,2
"195",12,18,1,"Black",2,2,2,2,1,2,2,2,1,2,1,2
"196",12,18,0,"Black",1,1,1,1,1,1,1,1,1,1,2,2
"197",12,18,1,"Black",1,1,3,2,2,2,1,2,2,3,2,2
"198",12,17,1,"Black",3,2,3,3,1,2,3,2,1,2,1,2
"199",9,14,1,"Other",2,2,3,3,1,2,3,1,2,2,3,2
"200",9,15,0,"Black",3,2,2,1,2,1,2,1,2,2,3,2
"201",9,15,1,"Black",2,1,2,2,2,2,3,2,1,2,3,2
"202",9,15,1,"White",2,2,3,2,2,1,3,1,2,2,1,2
"203",9,14,0,"White",1,2,3,2,1,2,3,1,1,3,3,2
"204",9,14,0,"Black",3,2,1,1,1,1,2,1,2,1,3,2
"205",9,15,0,"White",2,2,2,3,2,2,3,3,2,2,3,2
"206",9,14,1,"White",2,NA,2,3,2,2,3,3,2,2,1,2
"207",9,14,1,"Black",2,1,2,1,1,1,2,1,2,1,2,2
"208",9,14,1,"Black",3,2,3,2,2,3,3,2,3,2,1,2
"209",9,14,1,"Black",2,1,2,1,1,2,2,2,3,1,1,2
"210",9,15,1,"White",2,2,2,3,1,2,2,1,3,3,3,2
"211",9,14,1,"Black",1,2,3,2,1,2,3,1,2,3,1,2
"212",9,15,1,"Black",1,2,2,2,1,1,2,1,2,1,2,2
"213",9,14,0,"Black",2,2,2,2,2,2,2,1,1,2,3,2
"214",9,14,1,"Black",1,1,1,1,1,1,2,2,1,2,2,2
