SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Alma Primary,70.098931,3.3,58.3,28.1869243
St Theresa's Catholic Primary School,49.63824,8.4,34.3,4.1869243
Garden Suburb Infant School,57.2183388,9.3,13.8,16.3130757
Cromer Road Primary School,40.7157072,17.6,48.2,18.0869243
All Saints' CofE Primary School N20,28.1637338,10.5,35.1,4.9869243
Mathilda Marks-Kennedy Jewish Primary School,117.151398,3.1,89.5,59.3869243
Queenswell Infant & Nursery School,54.8231088,24.8,11.6,18.5130757
Northway School,61.2528784,44.4,23.8,6.3130757
Mill Hill County High School,35.7153784,9.1,23.4,6.7130757
Goldbeaters Primary School,46.9754114,34.8,21.5,8.6130757
Sacks Morasha Jewish Primary School,122.051398,2,89.1,58.9869243
Woodcroft Primary School,40.5313324,40.7,18.5,11.6130757
London Academy,38.3818256,28.2,19.8,10.3130757
Blessed Dominic Catholic Primary School,76.7157074,22.4,10,20.1130757
Oakleigh School & Acorn Assessment Centre,35.0944902,25.8,20.6,9.5130757
Rosh Pinah Primary School,132.751398,2.2,97.6,67.4869243
Oak Lodge School,35.842023,33.3,32.7,2.5869243
St Joseph's Catholic Primary School,66.4592928,6.8,15.7,14.4130757
Queenswell Junior School,43.8714638,25.3,16.8,13.3130757
JCoSS,103.5918586,4.4,82.2,52.0869243
The Archer Academy,27.2418586,15.4,27.6,2.5130757
Deansbrook Junior School,40.657648,36,14,16.1130757
Oakwood School,64.3952774,64.6,77.1,17.5010868
St Joseph's Catholic Primary School,54.1453616,7.1,43.9,15.6989132
Barrington Primary School,38.262673,5.6,71.7,12.1010868
Marlborough School,41.3405356,36.1,51.4,8.1989132
Hillsgrove Primary School,17.3112432,10.9,61.8,2.2010868
Peareswood Primary School,24.3460216,33.1,55.7,3.8989132
Our Lady of the Rosary Catholic Primary School,41.7166126,5.6,75.6,16.0010868
Blackfen School for Girls,36.9014618,5.6,77.8,18.2010868
Welling School,35.7850562,15,75,15.4010868
Beths Grammar School,29.3026136,1.8,47.5,12.0989132
Northwood Primary School,92.192444,19.3,24.9,34.6989132
Foster's Primary School,33.870656,7.4,67.3,7.7010868
St Paulinus Church of England Primary School,48.486156,3.8,51.1,8.4989132
Royal Park Primary School,24.6773452,24.3,59.2,0.3989132
St Fidelis Catholic Primary School,89.8229656,8.1,23.3,36.2989132
Willow Bank Primary School,82.4758572,30.7,24.5,35.0989132
Hurstmere School,54.5397076,3.4,86.7,27.1010868
Belvedere Infant School,71.8145816,27.1,27.5,32.0989132
St Columba's Catholic Boys' School,63.8473282,10,31.3,28.2989132
St Thomas More Catholic Primary School,35.4935828,3.1,50,9.5989132
Erith Secondary School,24.768728,18.2,70.7,11.1010868
Harris Academy Falconwood,33.613999,8.1,75.1,15.5010868
Woodside School,25.0621942,30.5,68.5,8.9010868
Belmont Primary School,28.985755,4.5,71.8,12.2010868
Holy Trinity Lamorbey Church of England School,20.3562038,6.1,68.6,9.0010868
Barnehurst Infant School,48.7799198,6,80,20.4010868
Shenstone School,44.9602406,29.7,49.4,10.1989132
Old Bexley Church of England School,50.7973088,2.2,83.7,24.1010868
St John Fisher Catholic Primary School,155.2736318,9.7,0.6,58.9989132
The Bexley Pupil Referral Service,59.7331996,34.3,82.1,22.5010868
Upland Primary School,29.0411308,6.1,68,8.4010868
Barnehurst Junior School,38.3076466,6.7,77.9,18.3010868
Mayplace Primary School,44.381757,4.9,80.6,21.0010868
Days Lane Primary School,49.9381808,3.5,82.3,22.7010868
Hope Community School,40.3451418,23.3,70.7,11.1010868
Christ Church (Erith) CofE Primary School,100.5066632,14.8,16.2,43.3989132
St Stephen's Catholic Primary School,51.4105706,3.6,36.6,22.9989132
Northumberland Heath Primary School,26.2264458,25.9,66.9,7.3010868
Cleeve Park School,39.674602,15.6,76.6,17.0010868
The Business Academy Bexley,59.4999094,16.9,33.3,26.2989132
Bursted Wood Primary School,43.312783,3,76.2,16.6010868
Normandy Primary School,18.929978,23.2,62.8,3.2010868
Brampton Primary Academy,40.6827532,3.8,72.4,12.8010868
Danson Primary School,21.8626472,6.2,61.3,1.7010868
Pelham Primary School,25.8491138,14.2,67.6,8.0010868
Eastcote Primary School,35.5377542,7.1,65.9,6.3010868
St Peter Chanel Catholic Primary School,30.1573296,12.9,65.5,5.9010868
St Augustine of Canterbury CofE Primary School,70.9751844,19.2,28.7,30.8989132
East Wickham Primary Academy,27.5118644,22.8,54.2,5.3989132
Bexley Grammar School,22.4851988,3.3,52.5,7.0989132
Slade Green Primary School,36.0652216,24.6,61.2,1.6010868
Longlands Primary School,48.7311942,10.6,82.2,22.6010868
Trinity Church of England School Belvedere,53.3764264,10.1,41.4,18.1989132
Bexleyheath Academy,21.3832188,17,68.2,8.6010868
Sherwood Park Primary School,39.1973864,16.8,72.7,13.1010868
Castilion Primary School,105.8659076,8.7,14.5,45.0989132
Jubilee Primary School,95.9298228,13.2,20.3,39.2989132
Chatsworth Infant School,57.6969852,3.9,88.3,28.7010868
Orchard School,25.562479,25,57.1,2.4989132
Townley Grammar School,59.8660502,3.5,32.7,26.8989132
Gravel Hill Primary School,35.8793762,14.1,50.8,8.7989132
Bedonwell Infant and Nursery School,23.4670204,6.3,60.3,0.7010868
Burnt Oak Junior School,62.3779402,5.6,91,31.4010868
Birkbeck Primary School,34.6838272,6.2,71.4,11.8010868
Belvedere Junior School,65.184694,29.9,30.5,29.0989132
Upton Primary School,30.1059,10.2,70.4,10.8010868
Hook Lane Primary School,39.210066,6.6,70.8,11.2010868
Bishop Ridley Church of England VA Primary School,37.1729202,2.8,67.1,7.5010868
