SCHOOL,INTEG,PER_FSM,BRIT_W,DIFF_BRIT_W
Southwold Primary School,31.1077269,34.8,7.1,8.6525532
Our Lady's Convent Roman Catholic High School,65.8695951,24,3.4,12.3525532
Stoke Newington School and Sixth Form,54.4567003,21.2,35.2,19.4474468
Colvestone Primary School,35.6257281,23.5,20.7,4.9474468
Woodberry Down Community Primary School,45.4843919,36,2.8,12.9525532
Mossbourne Community Academy,13.1924247,25,15.1,0.6525532
Clapton Girls' Academy,51.2174651,34.3,14.9,0.8525532
Nightingale Primary School,36.6149273,37.2,5.2,10.5525532
Betty Layward Primary School,74.6251711,9.7,44.7,28.9474468
Queensbridge Primary School,47.9536433,24.1,34.1,18.3474468
Princess May Primary School,41.7004849,37.8,2.1,13.6525532
Simon Marks Jewish Primary School,74.5199031,13,31.3,15.5474468
Berger Primary School,30.9336885,37.3,11,4.7525532
Thomas Fairchild Community School,35.7679411,45.4,8.6,7.1525532
Kingsmead Primary School,61.7215845,46.9,1.1,14.6525532
Stormont House School,59.9175749,52.5,33.6,17.8474468
Springfield Community Primary School,58.2471303,25.1,4.6,11.1525532
Halley House School,99.1368935,22.6,0,15.7525532
Mossbourne Parkside Academy,27.7988445,37.2,4.8,10.9525532
Baden-Powell School,41.3659777,36.7,4.7,11.0525532
Hackney New Primary School,167.6317871,16,100,84.2474468
St. Dominic's Catholic Primary School,94.7947145,37.3,1.5,14.2525532
Parkwood Primary School,48.0108593,25.2,9.7,6.0525532
Benthal Primary School,46.2463397,18.6,23.3,7.5474468
Gayhurst Community School,47.9196415,26.6,33.9,18.1474468
Our Lady and St Joseph Catholic Primary School,58.9636187,21.8,25,9.2474468
Holy Trinity Church of England Primary School,70.6564079,37.1,4.3,11.4525532
Mossbourne Riverside Academy,99.1368935,38.5,0,15.7525532
St Paul's with St Michael's Primary School,53.7610363,44.7,11.3,4.4525532
St John of Jerusalem Church of England Primary School,64.5612185,30.9,12.4,3.3525532
St Scholastica's Catholic Primary School,84.1534919,35,5.6,10.1525532
The Olive School Hackney,97.7650873,23.1,0.4,15.3525532
Lubavitch Junior Boys,147.2317871,12,89.8,74.0474468
Northwold Primary School,50.3039409,48.7,4.3,11.4525532
Whitmore Primary School,45.7120525,43.8,5.7,10.0525532
Cardinal Pole Roman Catholic School,71.8739897,37.8,3.5,12.2525532
London Fields Primary School,26.8112649,27.6,15.6,0.1525532
William Patten Primary School,69.9568825,10.1,34.5,18.7474468
The Petchey Academy,27.4054813,35,6.3,9.4525532
Mossbourne Victoria Park Academy,41.1716103,29.5,26.1,10.3474468
Grazebrook Primary School,65.3732401,17.8,35.8,20.0474468
Hackney New School,36.1241393,30.6,15.3,0.4525532
Lubavitch House School (Senior Girls),131.7124515,2.6,81.6,65.8474468
Rushmore Primary School,45.4960801,15.7,24.5,8.7474468
Lauriston School,65.9470583,17.6,36.9,21.1474468
Lubavitch Ruth Lunzer Girls Primary School,127.4608749,6.1,72.4,56.6474468
St Monica's Roman Catholic Primary School,95.5856195,33.9,2.8,12.9525532
Yesodey Hatorah Senior Girls School,162.7317871,2.5,97.5,81.7474468
St John and St James CofE Primary School,49.1898113,21.1,18.2,2.4474468
St Mary's Church of England Primary School Stoke Newington,45.4695747,24.4,14.1,1.6525532
Holmleigh Primary School,40.6833395,28.2,6.9,8.8525532
The City Academy Hackney,16.3967367,33.3,10.8,4.9525532
Millfields Community School,52.9935595,20.6,23.2,7.4474468
Morningside Primary School,36.8712631,33.6,4.9,10.8525532
New Regent's College,38.5301125,42.9,10.7,5.0525532
The Bridge Academy,23.5652899,54.9,12.5,3.2525532
Skinners' Academy,38.2402017,37.9,4,11.7525532
Orchard Primary School,18.5195075,36.3,16.4,0.6474468
Hoxton Garden Primary,37.7401085,38.2,8.4,7.3525532
Ark Burlington Danes Academy,48.0858805,28.7,14.9,11.7142455
St Mary's Catholic Primary School,38.1625897,22.4,20.3,6.3142455
Kenmont Primary School,27.6975837,33.5,27.3,0.6857545
St Peter's Primary School,41.7404123,13.6,39.2,12.5857545
West London Free School,66.3417095,23.1,44.1,17.4857545
William Morris Sixth Form,38.9081673,27.9,11.4,15.2142455
Thomas's Academy,46.8436547,21.7,12.5,14.1142455
Sacred Heart High School,62.2697701,5.9,42.4,15.7857545
Fulham Primary School,46.3281293,28.7,14.8,11.8142455
Lady Margaret School,54.2672677,9.2,52.8,26.1857545
Sir John Lillie Primary School,34.9717843,35.4,21.2,5.4142455
St Paul's CofE Primary School,35.4801355,26.2,21.4,5.2142455
Holy Cross RC School,56.9971131,9,27.6,0.9857545
St Johns Walham Green Church of England Primary School,51.8734833,16,43.2,16.5857545
Fulham College Boys' School,37.3507947,36.2,16.2,10.4142455
Queen's Manor School and Special Needs Unit,31.6458475,23.2,35.8,9.1857545
Greenside Primary School,31.2408601,23.7,32.4,5.7857545
St Thomas of Canterbury Catholic Primary School,48.4574413,18.1,19.1,7.5142455
Good Shepherd RC Primary School,50.3579981,10.7,38.2,11.5857545
Ark Bentworth Primary Academy,52.9307695,30.1,18.6,8.0142455
Brackenbury Primary School,19.0742009,21.3,26.8,0.1857545
Normand Croft Community School for Early Years and Primary Education,78.6963323,35.9,3.1,23.5142455
Lena Gardens Primary School,55.8657233,41.3,11.2,15.4142455
West London Free School Primary,76.1673077,6.1,49.2,22.5857545
Fulham Boys School,34.6637321,25.2,37.1,10.4857545
Sulivan Primary School,38.3353095,26.2,15.5,11.1142455
Westside Academy Trust,110.4029157,25,25,1.6142455
Woodlane High School,28.3761467,37.8,28.9,2.2857545
Queensmill School,37.6859725,38.9,18.9,7.7142455
Ark Conway Primary Academy,49.8754119,17.9,45.5,18.8857545
John Betts Primary School,66.4647823,13.1,54.1,27.4857545
All Saints CofE Primary School,90.7292487,6.1,64,37.3857545
Cambridge School,54.0072491,46.6,32.8,6.1857545
Langford Primary School,27.4822763,29.1,26.9,0.2857545
Flora Gardens Primary School,48.8837799,32.9,13.3,13.3142455
Hammersmith Academy,34.7681799,27.1,13.5,13.1142455
Miles Coverdale Primary School,60.8145897,23.3,7.3,19.3142455
The Hurlingham Academy,18.0450667,26.7,24.7,1.9142455
St John XXIII Catholic Primary School,51.0327611,22.1,15.7,10.9142455
Fulham Cross Girls' School and Language College,46.5797739,31.6,13.2,13.4142455
Avonmore Primary School,52.8397921,22.4,21.8,4.8142455
Parayhouse School,52.4991503,34.7,18.4,8.2142455
Earl's Court Free School Primary,75.9825461,6.8,41.4,14.7857545
Old Oak Primary School,48.8265165,28.5,12.5,14.1142455
The London Oratory School,71.5157095,4.3,49.8,23.1857545
Phoenix High School,56.7035813,30.6,8.8,17.8142455
St Augustine's RC Primary School,51.3136717,11.8,39.8,13.1857545
Wendell Park Primary School,38.9616253,24.6,13.2,13.4142455
Melcombe Primary School,45.8213281,24.2,11.8,14.8142455
Courtyard AP Academy,81.6766171,55.6,44.4,17.7857545
St Stephen's CofE Primary School,52.7447743,8.4,48.1,21.4857545
Wormholt Park Primary School,49.6288009,31.1,16.8,9.8142455
Addison Primary School,44.8890145,35.9,10.7,15.9142455
Jack Tizard School,67.8042757,58.2,11.1,15.5142455
The Bridge AP Academy,59.6565461,47,30,3.3857545
Ark Swift Primary Academy,64.6223783,32.1,10.3,16.3142455
Larmenier & Sacred Heart Catholic Primary School,62.8648913,4.7,33.8,7.1857545
Harris Primary Academy Philip Lane,32.00451,16.9,9.6,9.777916
St Thomas More Catholic School,46.7059096,18.8,3.3,16.077916
South Harringay Infant School & the Ladder Children's Centre,39.6419908,33,28.3,8.922084
Coldfall Primary School,71.2737172,4.8,48.3,28.922084
Mulberry Primary School,43.6743388,20.2,5.8,13.577916
St Francis de Sales RC Junior School,87.4424574,18.8,3.7,15.677916
Greig City Academy,50.2034214,59.4,2.8,16.577916
Seven Sisters Primary School,48.1216172,52.3,2.8,16.577916
South Harringay Junior School,39.8463452,21.3,16.4,2.977916
The Willow Primary School,42.4304818,25.5,5.2,14.177916
Northumberland Park Community School,49.5533436,27.2,5.4,13.977916
Park View School,42.3261272,24.3,5.2,14.177916
The Devonshire Hill Nursery &  Primary School,46.4965784,24.6,5.6,13.777916
Treehouse School,60.9500778,39.8,33,13.622084
Haringey Sixth Form Centre,98.4416796,0,0,19.377916
Earlham Primary School,66.0325038,16.8,1.5,17.877916
Belmont Infant School,47.4678072,10,18.6,0.777916
Fortismere School,74.7161744,4.8,50.5,31.122084
Harris Academy Tottenham,41.4858474,21.4,6.7,12.677916
St Ann's CE Primary School,80.2755832,16.5,5.2,14.177916
Riverside School,42.9822706,56.9,12.2,7.177916
Our Lady of Muswell Catholic Primary School,49.9437014,6.4,30.8,11.422084
The Brook School,74.0163296,49.1,7.5,11.877916
Alexandra Park School,39.6125974,11,33.8,14.422084
Harris Primary Academy Coleraine Park,49.0779158,25.8,3.6,15.777916
St Mary's Priory RC Infant School,52.597045,20.3,7.6,11.777916
Weston Park Primary School,87.6819598,8.7,55,35.622084
Risley Avenue Primary School,40.153188,21.3,5.3,14.077916
Haringey Tuition Centre,66.5407466,22.4,32.9,13.522084
St Michael's CofE Primary School,83.065941,13.5,7.8,11.577916
Belmont Junior School,42.3108866,11.7,14.1,5.277916
Gladesmore Community School,45.622706,61.2,4.8,14.577916
Heartlands High School,29.3160186,27.1,11.3,8.077916
Highgate Wood Secondary School,54.7849146,16.6,40.4,21.022084
Stroud Green Primary School,24.4250388,22.2,17.3,2.077916
Bounds Green Junior School,33.3702954,15.1,29.1,9.722084
Coleridge Primary School,82.6651634,6.3,55.2,35.822084
Tetherdown Primary School,90.2928462,1.4,60.7,41.322084
Rhodes Avenue Primary School,86.1452568,2.9,57.3,37.922084
Ferry Lane Primary School,46.1968896,20.8,5.1,14.277916
Welbourne Primary School,48.2926904,24.4,3.2,16.177916
Crowland Primary School,48.0898912,12.2,4.1,15.277916
St Gildas' Catholic Junior School,51.4849146,13.8,31.5,12.122084
Rokesly Infant School,69.5586316,5.8,42.7,23.322084
St James' CofE Primary School,89.5595646,0.7,59.3,39.922084
St Michael's CofE Voluntary Aided Primary School,88.2485226,3,60.6,41.222084
West Green Primary School,58.7942456,28.4,1.8,17.577916
Vale School,53.7550544,28.7,11.1,8.277916
St Mary's CofE Primary School,39.302644,23.2,20.7,1.322084
St Paul's and All Hallows CofE Junior School,119.8776048,21.3,2.2,17.177916
Campsbourne Infant School,55.1556764,5.1,40.5,21.122084
St Paul's RC Primary School,66.4194402,19.4,1.7,17.677916
Lancasterian Primary School,36.1850698,23.4,5.7,13.677916
St Mary's Priory RC Junior School,50.5469672,13.8,4.3,15.077916
Trinity Primary Academy,56.7587872,19.7,3.6,15.777916
Rokesly Junior School,62.3659412,14.6,38.3,18.922084
Holy Trinity CofE Primary School,103.4687402,23,1.2,18.177916
St John Vianney RC Primary School,57.3155522,10.8,9.2,10.177916
Hornsey School for Girls,43.573095,20.7,12.1,7.277916
Eden Primary,113.6091758,2.7,74.6,55.222084
Stamford Hill Primary School,56.5320372,24.5,2.5,16.877916
Woodside High School,38.987247,24.4,8.3,11.077916
Tiverton Primary School,52.8939346,29.6,3.1,16.277916
Highgate Primary School,55.457232,11.3,38.9,19.522084
Noel Park Primary School,41.7225504,21.4,6.6,12.777916
Earlsmead Primary School,43.2853808,21.9,6.2,13.177916
Octagon Ap Academy,64.1160186,45.8,18.8,0.577916
North Harringay Primary School,30.2027992,20.3,14.9,4.477916
Alexandra Primary School,53.8623638,24.9,4.8,14.577916
St Aidan's Voluntary Controlled Primary School,65.9006222,8.9,47.4,28.022084
Blanche Nevile School,66.422084,52.7,2.9,16.477916
St Paul's and All Hallows CofE Infant School,104.5363918,19.4,1.9,17.477916
Lea Valley Primary School,49.7104196,29.9,1.1,18.277916
St Ignatius RC Primary School,74.9884914,23.6,1.2,18.177916
Muswell Hill Primary School,81.2741838,5,51.9,32.522084
Bounds Green Infant School,37.980871,9.4,26.1,6.722084
Brook House Primary School,58.7395022,21.2,0,19.377916
Tottenham UTC,63.0085536,12.7,9.7,9.677916
Chestnuts Primary School,45.3702956,19.7,27,7.622084
St Francis de Sales RC Infant School,80.3794712,16.7,3.9,15.477916
Lordship Lane Primary School,35.5950232,23.2,8.7,10.677916
Campsbourne Junior School,42.9430792,14.4,35.1,15.722084
St Peter-in-Chains RC Infant School,69.5269052,4.1,33.3,13.922084
Bruce Grove Primary School,52.711975,17,3.2,16.177916
St Martin of Porres RC Primary School,65.2449456,3.6,25.6,6.222084
Whitmore High School,28.5954281,14.7,11.4,1.0722404
Nower Hill High School,32.9461789,8.5,22.8,10.3277596
Cedars Manor School,32.4261921,15,13,0.5277596
Pinner Wood School,28.9749835,11.2,15.2,2.7277596
Belmont School,33.6744611,14.2,5,7.4722404
Newton Farm Nursery Infant and Junior School,75.1095363,0.9,1.4,11.0722404
Shaftesbury High School,43.2669497,25,18.8,6.3277596
Salvatorian Roman Catholic College,61.5278903,10.2,29,16.5277596
Heathland School,50.1284781,13,4.3,8.1722404
St Joseph's Catholic Primary School,76.8789679,7.3,34.5,22.0277596
St George's Primary School,75.2711299,4.8,16.5,4.0277596
The Moriah Jewish Day School,164.0541473,1.3,95,82.5277596
St Teresa's Catholic Primary School and Nursery,63.0879815,7.1,28.1,15.6277596
The Sacred Heart Language College,79.9674723,8,34.1,21.6277596
The Helix Education Centre,69.5462445,32.2,18.6,6.1277596
Whitefriars School,37.9312869,12.2,4.7,7.7722404
Longfield Primary School,42.2699543,5.3,9.8,2.6722404
Bentley Wood High School,58.2146311,19.6,5.5,6.9722404
Marlborough Primary School,27.4242325,11.8,8.1,4.3722404
Avanti House School,136.3946439,3,1.7,10.7722404
Roxeth Primary School,19.5747225,10.1,7.8,4.6722404
Camrose Primary With Nursery,68.2296539,11.8,4.7,7.7722404
St John Fisher Catholic Primary School,75.9964073,4.1,36.8,24.3277596
Woodlands School,37.9235141,21.9,10.9,1.5722404
Stanburn Primary School,55.6229913,7.8,4.6,7.8722404
Glebe Primary School,46.5907903,5.5,1,11.4722404
Vaughan Primary School,31.2905289,11,18.7,6.2277596
Krishna Avanti Primary School,141.1630305,1.5,1.2,11.2722404
St Bernadette's Catholic Primary School,74.1711299,4.7,24.6,12.1277596
St John's CofE School Stanmore,67.6626387,9.1,19.9,7.4277596
Pinner Park Infant and Nursery School,39.3033967,2.2,9.6,2.8722404
Whitchurch Primary School & Nursery,54.1169171,7.7,4,8.4722404
Alexandra School,44.7258001,33.8,21.3,8.8277596
Roxbourne Primary School,59.8813845,4.9,5.1,7.3722404
Elmgrove Primary School & Nursery,33.3805357,15.1,5.8,6.6722404
Grange Primary School,53.4395167,16.4,3.4,9.0722404
Park High School,37.2259961,9.4,6.7,5.7722404
Rooks Heath College,35.1488571,13.2,9.3,3.1722404
Welldon Park Primary School,47.5683215,10.9,5.7,6.7722404
St Anselm's Catholic Primary School,72.8320049,3.1,33.4,20.9277596
Cannon Lane Primary School,59.2490527,2.2,15.6,3.1277596
Norbury School,23.6900065,8.5,6,6.4722404
Kingsley High School,46.6976483,24.1,13.9,1.4277596
Weald Rise Primary School,39.2099281,15.7,11.6,0.8722404
Canons High School,48.2765513,12.5,4.2,8.2722404
The Jubilee Academy,99.0986281,0,0,12.4722404
Harrow High School,59.3969953,15.1,4.4,8.0722404
Pinner Park Junior School,33.4690399,6.9,13.3,0.8277596
Priestmead Primary School and Nursery,49.6258001,6.5,1.6,10.8722404
Kenmore Park Infant and Nursery School,49.6527107,8.2,2.9,9.5722404
Grimsdyke School,51.2854995,2.3,17.1,4.6277596
Kenmore Park Junior School,45.5250163,11,1.9,10.5722404
Aylward Primary School,52.2917701,13.6,10.6,1.8722404
West Lodge Primary School,67.6195297,4.4,29.4,16.9277596
Hatch End High School,25.9167211,18,16.4,3.9277596
Stag Lane Junior School,40.6553231,5.8,1.9,10.5722404
Earlsmead Primary School,40.8858915,16.3,6.3,6.1722404
Stag Lane Infant and Nursery School,51.2474851,3.4,5.7,6.7722404
Whybridge Junior School,14.6861313,18.3,64.6,2.6613139
Broadford Primary School,19.5868615,26.4,60.7,6.5613139
St Ursula's Catholic Junior School,85.1416057,15,28.3,38.9613139
Mead Primary School,26.8306567,26.2,58.3,8.9613139
The Mawney School,50.7051097,20,43.6,23.6613139
Corbets Tey School,21.9999999,22.5,71,3.7386861
Gidea Park Primary School,22.5788323,6,76.9,9.6386861
The R J Mitchell Primary School,18.5715327,19.3,74.5,7.2386861
Ardleigh Green Infant School,23.4394161,7,73.3,6.0386861
St Patrick's Catholic Primary School,32.2693431,7.2,57.1,10.1613139
Redden Court School,34.9591239,10.1,84.3,17.0386861
Abbs Cross Academy and Arts College,36.3795619,6.8,85.1,17.8386861
The Chafford School A Specialist Business and Enterprise College,12.7489051,13.1,64,3.2613139
Wykeham Primary School,32.9919711,13,55.7,11.5613139
Parklands Junior School,18.6459855,10.9,71.4,4.1386861
Suttons Primary School,21.5014599,7.2,61.7,5.5613139
Scotts Primary School,28.3788323,4.8,78.5,11.2386861
Drapers' Academy,15.0175181,24.5,64.4,2.8613139
Nelmes Primary School,33.7583943,5.1,60.8,6.4613139
Newtons Primary School,44.2467155,27.5,48.4,18.8613139
Towers Junior School,28.0094891,9.1,80.6,13.3386861
Emerson Park Academy,31.7635035,6.9,82.9,15.6386861
Gaynes School,25.1364963,8.9,58.6,8.6613139
Marshalls Park School,28.3489049,10.7,79.7,12.4386861
Hylands Primary School,25.4489055,12.3,62,5.2613139
Langtons Junior Academy,20.9175183,13.6,72.7,5.4386861
Squirrels Heath Infant School,20.3124091,11.1,64.6,2.6613139
Rise Park Junior School,19.0598541,7.4,74.1,6.8386861
The Brittons Academy Trust,14.1394161,21,63.2,4.0613139
The Campion School,16.9262771,2.8,71.7,4.4386861
Ardleigh Green Junior School,25.1321169,5.2,75,7.7386861
Oasis Academy Pinewood,24.1145985,28.3,64,3.2613139
Parklands Infant School,20.9518251,8.8,67.5,0.2386861
Squirrels Heath Junior School,16.7262775,11.7,63.5,3.7613139
Sacred Heart of Mary Girls' School,20.1167881,4.4,68.1,0.8386861
Rise Park Infant School,28.9029199,14.3,76.9,9.6386861
Langtons Infant School,26.3766425,14.9,75.2,7.9386861
Upminster Junior School,33.9941607,3.6,78.8,11.5386861
St Mary's Catholic Primary School,24.2043795,2.4,68.1,0.8386861
Brady Primary School,32.3810219,11.1,55.3,11.9613139
Towers Infant School,31.8328469,5.9,81.6,14.3386861
St Alban's Catholic Primary School,47.9306569,7.2,51.4,15.8613139
The Coopers' Company and Coborn School,22.0503651,1.3,77.1,9.8386861
St Peter's Catholic Primary School,25.1496351,2.9,62.4,4.8613139
Rainham Village Primary School,52.4861313,24.2,42.7,24.5613139
Hilldene Primary School,13.8576643,22.2,64.1,3.1613139
Elm Park Primary School,17.7481755,21.1,61.3,5.9613139
Dame Tipping Church of England Primary School,29.6021897,4.8,66.3,0.9613139
Pyrgo Priory Primary School,12.3489051,19.2,64.5,2.7613139
St Edward's Church of England School & Sixth Form College,93.6175183,7.7,27,40.2613139
Scargill Junior School,24.9627737,14.5,77.8,10.5386861
Crowlands Primary School,45.5620439,14.8,46.8,20.4613139
Scargill Infant School,17.4554747,13.5,70.7,3.4386861
Drapers' Maylands Primary School,98.6861313,25,0,67.2613139
Engayne Primary School,34.7131385,5.6,83.7,16.4386861
St Ursula's Catholic Infant School,82.6927007,11.1,30.8,36.4613139
Dycorts School,17.3503649,46.7,68.2,0.9386861
Sanders School,11.0474451,14.3,69.5,2.2386861
Benhurst Primary School,14.4722629,10.8,64.6,2.6613139
The Royal Liberty School,15.7576643,15.2,63.7,3.5613139
Brookside Infant School,31.0766421,20.3,78.3,11.0386861
Branfil Primary School,34.5999999,4.7,83.1,15.8386861
Upminster Infant School,40.3189781,3.7,80.9,13.6386861
St Edward's Church of England Voluntary Aided Primary School,68.1693431,4.5,39.7,27.5613139
Parsonage Farm Primary School,15.7029197,12.8,72.6,5.3386861
The Albany School,17.4043795,15.5,70.2,2.9386861
Hall Mead School,37.4766421,5.9,86,18.7386861
St Joseph's Catholic Primary School,36.4613139,3,82.7,15.4386861
Ravensbourne School,62.9240877,35.4,43.3,23.9613139
Harold Wood Primary School,24.1459855,10.8,78.8,11.5386861
Crownfield Infant School,25.7321169,10.7,73.7,6.4386861
Crownfield Junior School,14.4919711,14.2,64.9,2.3613139
Clockhouse Primary School,19.0664233,18.5,73.6,6.3386861
Whybridge Infant School,21.2416059,11.8,66.9,0.3613139
Bower Park Academy,18.9364963,20,73.7,6.4386861
Harold Court Primary School,20.3321169,13.9,62,5.2613139
Hacton Primary School,30.2773721,7.1,80.8,13.5386861
Manor Green College,36.6211683,35,61.7,5.5613139
Drapers' Brookside Junior School,17.2897811,25.5,68,0.7386861
La Salette Catholic Primary School,76.3744525,5.9,33.9,33.3613139
The Frances Bardsley Academy for Girls,18.7051095,8.3,62.3,4.9613139
The James Oglethorpe Primary School,22.9948905,4.2,76.3,9.0386861
Heathrow Primary School,47.2663847,6.4,22,13.0658631
Harlyn Primary School,33.0102475,10.2,44.2,9.1341369
The Young People's Academy,103.5868439,57.4,74.1,39.0341369
Uxbridge High School,21.3010099,17.2,33,2.0658631
Vyners School,52.6466829,3.3,60.2,25.1341369
Laurel Lane Primary School,30.6939829,27.5,33.6,1.4658631
Hillside Infant School,65.5715299,11.1,30.3,4.7658631
Hayes Park School,50.6849765,8,20.1,14.9658631
Queensmead School,33.4266217,15.8,43.4,8.3341369
St Matthew's CofE Primary School,21.2000833,12.2,34.4,0.6658631
Lady Bankes Infant School,59.1983635,10.1,63.5,28.4341369
Botwell House Catholic Primary School,51.0462517,7.6,19.5,15.5658631
John Locke Academy,53.9929779,1.6,52.9,17.8341369
Newnham Junior School,49.9575473,6.4,49.4,14.3341369
Bishop Winnington-Ingram CofE Primary School,61.2402681,14.6,57.5,22.4341369
Grange Park Infant and Nursery School,78.5664419,20.2,3.7,31.3658631
Whitehall Junior School,35.2453135,18.3,27.2,7.8658631
Field End Infant School,27.0979943,9.5,35.6,0.5341369
Harmondsworth Primary School,64.9292013,14.2,46.6,11.5341369
Glebe Primary School,51.3451895,4.6,59.9,24.8341369
Minet Junior School,85.9802245,18.1,5.3,29.7658631
Warrender Primary School,56.3121697,6.2,57.5,22.4341369
Rabbsfarm Primary School,38.8455659,32.7,37.4,2.3341369
Lake Farm Park Academy,59.1192991,15.1,11.7,23.3658631
The Breakspear School,49.5477143,1.1,49.6,14.5341369
Colham Manor Primary School,40.3425217,28.4,44.4,9.3341369
Pinkwell Primary School,55.5777803,27.7,11.4,23.6658631
Charville Primary School,25.2219909,21.5,34.7,0.3658631
Newnham Infant and Nursery School,54.7670303,9.5,50.6,15.5341369
Nanaksar Primary School,148.9232343,8.7,0,35.0658631
Yeading Junior School,89.3486291,20.2,2.2,32.8658631
Hedgewood School,30.4583833,30.9,28.9,6.1658631
Abbotsfield School,34.7916891,10.8,41.1,6.0341369
The Willows School,82.4598889,69.7,39.4,4.3341369
Lady Bankes Junior School,66.0040565,10.3,62.2,27.1341369
St Mary's Catholic Primary School,51.8502607,5.1,40.3,5.2341369
Cherry Lane Primary School,20.1906483,20.6,35.7,0.6341369
St Martin's Church of England Primary School,98.5707819,2.4,0,35.0658631
Grangewood School,50.8166839,31.6,22.9,12.1658631
Ruislip High School,59.9452347,7.3,63.8,28.7341369
Barnhill Community High School,52.3189013,14.7,16.4,18.6658631
Cranford Park Academy,84.7823967,15.4,4.6,30.4658631
Dr Triplett's CofE Primary School,55.3412495,15.7,22.8,12.2658631
Wood End Park Academy,57.4000953,16,12.9,22.1658631
Heathrow Aviation Engineering UTC,31.0630093,23.8,29.4,5.6658631
St Catherine Catholic Primary School,57.3418189,12.8,38,2.9341369
Hermitage Primary School,38.1635241,11.4,42.3,7.2341369
Bourne Primary School,50.7481791,10.7,44.1,9.0341369
Holy Trinity CofE Primary School,42.4043853,9.1,47.5,12.4341369
Brookside Primary School,64.5684547,22.5,11.7,23.3658631
Coteford Infant School,62.7231699,16.4,57.1,22.0341369
Swakeleys School for Girls,26.4200211,27.1,33.7,1.3658631
Hewens Primary School,55.3483481,15.3,15.4,19.6658631
St Andrew's CofE Primary School,73.5560993,8.5,53.8,18.7341369
Coteford Junior School,57.1869011,17.2,60.8,25.7341369
Hillingdon Primary School,41.7370429,13.5,20.9,14.1658631
Guru Nanak Sikh Academy,134.0887211,4.7,0,35.0658631
Highfield Primary School,26.1544819,14.2,40.8,5.7341369
St Bernadette Catholic Primary School,50.7260785,3.4,47.9,12.8341369
Belmore Primary Academy,50.1704247,17.7,21,14.0658631
Rosedale Primary School,57.2140707,7.9,13.9,21.1658631
Oak Farm Junior School,32.4850361,9.1,42.8,7.7341369
Minet Nursery and Infant School,75.9177939,20.3,3.4,31.6658631
RNIB Sunshine House School and Children's Home,57.5551011,20.5,29.4,5.6658631
West Drayton Primary School,32.1954907,19,28.7,6.3658631
Hewens College,39.9483695,29,22.1,12.9658631
Bishopshalt School,34.4751887,10.1,46.8,11.7341369
William Byrd School,59.6046449,9.8,13.2,21.8658631
Harlington School,52.5363641,18.9,15.8,19.2658631
Cowley St Laurence CofE Primary School,44.5801243,25.1,46.3,11.2341369
Yeading Infant and Nursery School,91.1147043,12,2.5,32.5658631
Bishop Ramsey Church of England School,67.1560087,2.4,58.7,23.6341369
Ruislip Gardens Primary School,35.6677663,15.3,48,12.9341369
Whiteheath Infant and Nursery School,53.2869011,3.7,57.8,22.7341369
Northwood School,47.0093305,14.8,47.6,12.5341369
St Swithun Wells Catholic Primary School,88.2937471,2.2,53.9,18.8341369
Pentland Field School,34.0539029,41.4,26.9,8.1658631
The Skills Hub,62.8413211,25.7,51.4,16.3341369
Whiteheath Junior School,54.8599461,5.4,61.1,26.0341369
Haydon School,40.6314975,5.2,51.6,16.5341369
Stockley Academy,51.4045997,37.4,58.4,23.3341369
The Douay Martyrs Catholic School,27.1067815,11.3,32,3.0658631
Oak Farm Infant School,33.1437173,8.3,34.8,0.2658631
Grange Park Junior School,67.6802245,22.2,8.2,26.8658631
Frithwood Primary School,31.0742407,6.5,37,1.9341369
De Salis Studio College,60.3209857,13.3,12,23.0658631
Field End Junior School,31.7242013,9.8,37.5,2.4341369
Meadow High School,44.9177485,30.6,54.5,19.4341369
Rosedale College,58.4642577,23.8,12.3,22.7658631
Deanesfield Primary School,31.7745909,13.3,42.7,7.6341369
Ryefield Primary School,47.9215979,18,44.5,9.4341369
Parkside Studio College,64.1579095,30.1,58.3,23.2341369
Whitehall Infant School,49.3072009,17.4,18.7,16.3658631
Sacred Heart Catholic Primary School,75.2761057,3.6,65.4,30.3341369
Moorcroft School T/A the Eden Academy,34.6305899,46.2,26.2,8.8658631
Hillside Junior School,55.4318453,7.2,33.1,1.9658631
Pield Heath House RC School,41.3827683,31.5,32.6,2.4658631
Southville Infant and Nursery School,32.0587018,13.9,29.8,8.9130386
Feltham Community College,62.1513152,16.5,50.7,29.8130386
Chiswick School,52.84986,20.1,33.8,12.9130386
Ivybridge Primary School,60.8772244,27.4,11.6,9.2869614
Edward Pauling Primary School,54.3837156,19.5,32.7,11.8130386
St Mary's Catholic Primary School Chiswick,97.6777842,2.2,39.3,18.4130386
St Michael and St Martin RC Primary School,52.1298266,4.4,7.5,13.3869614
The Blue School CofE Primary,81.2717964,1.8,53.5,32.6130386
Rivers Academy West London,54.1202576,21,45.4,24.5130386
St Lawrence RC Primary School,56.7329604,4,18.9,1.9869614
Norwood Green Junior School,75.084779,14.3,1.3,19.5869614
Alexandra Primary School,67.2935644,8.8,2.5,18.3869614
Nishkam School West London,129.3062676,6.6,0,20.8869614
Kingsley Academy,41.2353104,13.8,10.6,10.2869614
Our Lady and St John's Catholic Primary School,99.6508674,4.5,30.5,9.6130386
Worple Primary School,61.0981534,15.4,42.9,22.0130386
Cranford Primary,49.0030778,8.3,4.4,16.4869614
